,train,val,test
normal_003,True,False,False
test_003,True,False,False
normal_005,True,False,False
test_005,True,False,False
normal_006,True,False,False
test_006,True,False,False
normal_007,True,False,False
test_007,True,False,False
normal_012,True,False,False
test_012,True,False,False
normal_014,True,False,False
test_014,True,False,False
normal_015,True,False,False
test_015,True,False,False
normal_017,True,False,False
test_017,True,False,False
normal_018,True,False,False
test_018,True,False,False
normal_019,True,False,False
test_019,True,False,False
normal_020,True,False,False
test_020,True,False,False
normal_022,True,False,False
test_022,True,False,False
normal_023,True,False,False
test_023,True,False,False
normal_024,True,False,False
test_024,True,False,False
normal_025,True,False,False
test_025,True,False,False
normal_028,True,False,False
test_028,True,False,False
normal_031,True,False,False
test_031,True,False,False
normal_034,True,False,False
test_034,True,False,False
normal_035,True,False,False
test_035,True,False,False
normal_036,True,False,False
test_036,True,False,False
normal_037,True,False,False
test_037,True,False,False
normal_039,True,False,False
test_039,True,False,False
normal_041,True,False,False
test_041,True,False,False
normal_042,True,False,False
test_042,True,False,False
normal_043,True,False,False
test_043,True,False,False
normal_044,True,False,False
test_044,True,False,False
normal_045,True,False,False
test_045,True,False,False
normal_047,True,False,False
test_047,True,False,False
normal_049,True,False,False
normal_050,True,False,False
test_050,True,False,False
normal_053,True,False,False
test_053,True,False,False
normal_054,True,False,False
test_054,True,False,False
normal_055,True,False,False
test_055,True,False,False
normal_057,True,False,False
test_057,True,False,False
normal_058,True,False,False
test_058,True,False,False
normal_060,True,False,False
test_060,True,False,False
normal_062,True,False,False
test_062,True,False,False
normal_063,True,False,False
test_063,True,False,False
normal_076,True,False,False
test_076,True,False,False
normal_077,True,False,False
test_077,True,False,False
normal_080,True,False,False
test_080,True,False,False
normal_081,True,False,False
test_081,True,False,False
normal_083,True,False,False
test_083,True,False,False
normal_085,True,False,False
test_085,True,False,False
normal_087,True,False,False
test_086,True,False,False
normal_088,True,False,False
test_087,True,False,False
normal_089,True,False,False
test_088,True,False,False
normal_090,True,False,False
test_089,True,False,False
normal_094,True,False,False
test_093,True,False,False
normal_097,True,False,False
test_096,True,False,False
normal_099,True,False,False
test_098,True,False,False
normal_101,True,False,False
test_100,True,False,False
normal_102,True,False,False
test_101,True,False,False
normal_104,True,False,False
test_103,True,False,False
normal_107,True,False,False
test_106,True,False,False
normal_110,True,False,False
test_109,True,False,False
normal_112,True,False,False
test_111,True,False,False
normal_118,True,False,False
test_118,True,False,False
normal_119,True,False,False
test_119,True,False,False
normal_120,True,False,False
test_120,True,False,False
normal_123,True,False,False
test_123,True,False,False
normal_125,True,False,False
test_126,True,False,False
normal_126,True,False,False
test_127,True,False,False
normal_127,True,False,False
test_128,True,False,False
normal_128,True,False,False
test_129,True,False,False
normal_129,True,False,False
test_130,True,False,False
normal_130,True,False,False
normal_131,True,False,False
normal_133,True,False,False
normal_134,True,False,False
normal_135,True,False,False
normal_137,True,False,False
normal_138,True,False,False
normal_139,True,False,False
normal_141,True,False,False
normal_142,True,False,False
normal_143,True,False,False
normal_145,True,False,False
normal_146,True,False,False
normal_147,True,False,False
normal_149,True,False,False
normal_150,True,False,False
normal_151,True,False,False
normal_153,True,False,False
normal_154,True,False,False
normal_155,True,False,False
normal_156,True,False,False
normal_157,True,False,False
normal_160,True,False,False
normal_002,True,False,False
test_002,True,False,False
normal_004,True,False,False
test_004,True,False,False
normal_008,True,False,False
test_008,True,False,False
normal_010,True,False,False
test_010,True,False,False
normal_013,True,False,False
test_013,True,False,False
normal_021,True,False,False
test_021,True,False,False
normal_026,True,False,False
test_026,True,False,False
normal_027,True,False,False
test_027,True,False,False
normal_029,True,False,False
test_029,True,False,False
normal_030,True,False,False
test_030,True,False,False
normal_033,True,False,False
test_033,True,False,False
normal_038,True,False,False
test_038,True,False,False
normal_040,True,False,False
test_040,True,False,False
normal_046,True,False,False
test_046,True,False,False
normal_048,True,False,False
test_048,True,False,False
normal_051,True,False,False
test_051,True,False,False
normal_052,True,False,False
test_052,True,False,False
normal_061,True,False,False
test_061,True,False,False
normal_064,True,False,False
test_064,True,False,False
normal_065,True,False,False
test_065,True,False,False
normal_066,True,False,False
test_066,True,False,False
normal_069,True,False,False
test_069,True,False,False
normal_071,True,False,False
test_071,True,False,False
normal_073,True,False,False
test_073,True,False,False
normal_074,True,False,False
test_074,True,False,False
normal_075,True,False,False
test_075,True,False,False
normal_079,True,False,False
test_079,True,False,False
normal_082,True,False,False
test_082,True,False,False
normal_084,True,False,False
test_084,True,False,False
normal_091,True,False,False
test_090,True,False,False
normal_093,True,False,False
test_092,True,False,False
normal_095,True,False,False
test_094,True,False,False
normal_098,True,False,False
test_097,True,False,False
normal_100,True,False,False
test_099,True,False,False
normal_103,True,False,False
test_102,True,False,False
normal_105,True,False,False
test_104,True,False,False
normal_109,True,False,False
test_108,True,False,False
normal_111,True,False,False
test_110,True,False,False
normal_114,True,False,False
test_113,True,False,False
normal_116,True,False,False
test_116,True,False,False
normal_117,True,False,False
test_117,True,False,False
normal_121,True,False,False
test_121,True,False,False
normal_122,True,False,False
test_122,True,False,False
tumor_001,True,False,False
tumor_002,True,False,False
tumor_003,True,False,False
tumor_004,True,False,False
tumor_006,True,False,False
tumor_009,True,False,False
tumor_010,True,False,False
tumor_012,True,False,False
tumor_016,True,False,False
tumor_017,True,False,False
tumor_018,True,False,False
tumor_019,True,False,False
tumor_020,True,False,False
tumor_021,True,False,False
tumor_022,True,False,False
tumor_023,True,False,False
tumor_024,True,False,False
tumor_025,True,False,False
tumor_026,True,False,False
tumor_028,True,False,False
tumor_029,True,False,False
tumor_030,True,False,False
tumor_032,True,False,False
tumor_033,True,False,False
tumor_034,True,False,False
tumor_035,True,False,False
tumor_036,True,False,False
tumor_037,True,False,False
tumor_038,True,False,False
tumor_039,True,False,False
tumor_042,True,False,False
tumor_044,True,False,False
tumor_045,True,False,False
tumor_046,True,False,False
tumor_047,True,False,False
tumor_048,True,False,False
tumor_049,True,False,False
tumor_051,True,False,False
tumor_052,True,False,False
tumor_053,True,False,False
tumor_054,True,False,False
tumor_058,True,False,False
tumor_059,True,False,False
tumor_060,True,False,False
tumor_061,True,False,False
tumor_062,True,False,False
tumor_064,True,False,False
tumor_065,True,False,False
tumor_066,True,False,False
tumor_067,True,False,False
tumor_068,True,False,False
tumor_069,True,False,False
tumor_070,True,False,False
tumor_071,True,False,False
tumor_073,True,False,False
tumor_074,True,False,False
tumor_076,True,False,False
tumor_078,True,False,False
tumor_079,True,False,False
tumor_080,True,False,False
tumor_081,True,False,False
tumor_082,True,False,False
tumor_083,True,False,False
tumor_086,True,False,False
tumor_087,True,False,False
tumor_088,True,False,False
tumor_089,True,False,False
tumor_090,True,False,False
tumor_091,True,False,False
tumor_092,True,False,False
tumor_093,True,False,False
tumor_094,True,False,False
tumor_095,True,False,False
tumor_096,True,False,False
tumor_097,True,False,False
tumor_099,True,False,False
tumor_100,True,False,False
tumor_102,True,False,False
tumor_103,True,False,False
tumor_104,True,False,False
tumor_106,True,False,False
tumor_108,True,False,False
tumor_110,True,False,False
tumor_111,True,False,False
normal_140,False,True,False
normal_072,False,True,False
test_072,False,True,False
normal_092,False,True,False
test_091,False,True,False
normal_132,False,True,False
normal_115,False,True,False
test_115,False,True,False
normal_152,False,True,False
normal_148,False,True,False
normal_096,False,True,False
test_095,False,True,False
normal_056,False,True,False
test_056,False,True,False
normal_059,False,True,False
test_059,False,True,False
normal_108,False,True,False
test_107,False,True,False
normal_106,False,True,False
test_105,False,True,False
tumor_075,False,True,False
tumor_014,False,True,False
tumor_056,False,True,False
tumor_055,False,True,False
tumor_101,False,True,False
tumor_050,False,True,False
tumor_031,False,True,False
tumor_057,False,True,False
normal_011,False,True,False
test_011,False,True,False
tumor_084,False,True,False
normal_016,False,True,False
test_016,False,True,False
tumor_008,False,True,False
tumor_015,False,True,False
tumor_013,False,True,False
tumor_085,False,True,False
normal_136,False,False,True
normal_158,False,False,True
normal_070,False,False,True
test_070,False,False,True
normal_078,False,False,True
test_078,False,False,True
normal_067,False,False,True
test_067,False,False,True
normal_124,False,False,True
test_125,False,False,True
normal_159,False,False,True
normal_032,False,False,True
test_032,False,False,True
normal_144,False,False,True
normal_113,False,False,True
test_112,False,False,True
normal_009,False,False,True
test_009,False,False,True
tumor_105,False,False,True
tumor_072,False,False,True
tumor_109,False,False,True
tumor_098,False,False,True
normal_068,False,False,True
test_068,False,False,True
tumor_043,False,False,True
tumor_040,False,False,True
tumor_007,False,False,True
tumor_107,False,False,True
tumor_011,False,False,True
tumor_027,False,False,True
tumor_041,False,False,True
tumor_005,False,False,True
tumor_077,False,False,True
tumor_063,False,False,True
normal_001,False,False,True
test_001,False,False,True
